task,route,axis,n,within_difficulty_rank_correlation,cluster_bootstrap_2p5_50_97p5
FEVER,bi200,s_score_top10_entropy,13332,-0.060016506474768624,"[-0.07705428730880112, -0.060822823375957236, -0.04202598404228847]"
FEVER,bi200,s_score_margin_1_2,13332,0.05513020747721335,"[0.03781352366701092, 0.05525060527389014, 0.07260502996795466]"
FEVER,ce20,s_score_top10_entropy,13332,0.042642477884446015,"[0.02431456745049771, 0.04284545110919785, 0.059012342259807136]"
FEVER,ce20,s_score_margin_1_2,13332,-0.02856162043876341,"[-0.044962724074279994, -0.02891974008400682, -0.011119182418186973]"
FEVER,ce100,s_score_top10_entropy,13332,0.04750460066792647,"[0.030603643668618143, 0.04744948048858951, 0.06441985271189737]"
FEVER,ce100,s_score_margin_1_2,13332,-0.040575253205249934,"[-0.057656265647514644, -0.04082179337845773, -0.024155825540711634]"
FEVER,hybrid,s_score_top10_entropy,13332,0.03523359823282797,"[0.017990642726492406, 0.035400471832743974, 0.05252091805180046]"
FEVER,hybrid,s_score_margin_1_2,13332,-0.038471023452194684,"[-0.05574636229245381, -0.03863193050313864, -0.022516911769584046]"
Structured-v2,one_hop,s_anchor_count,2000,-0.34675737591665357,"[-0.3842177909943224, -0.3456777509334302, -0.30824912454674197]"
Structured-v2,one_hop,s_onehop_coverage,2000,-0.24784305930068676,"[-0.29833270373546533, -0.24727911085222662, -0.19935232926469865]"
Structured-v2,one_hop,s_score_entropy,2000,-0.17677914593860894,"[-0.21913351646570906, -0.1761867384618218, -0.1335552479361384]"
Structured-v2,two_hop,s_twohop_paths,2000,-0.3435954222915767,"[-0.3961453048941074, -0.34155989816287513, -0.2943377737844487]"
Structured-v2,two_hop,s_twohop_coverage,2000,-0.3093976243900385,"[-0.3608249069268977, -0.30679889726856163, -0.2599449076375997]"
Structured-v2,two_hop,s_score_entropy,2000,-0.1877334499701974,"[-0.22831847275415565, -0.18755596559118787, -0.14288445225626964]"
MuSiQue,V1,q_hop_count,2417,-0.07135137804455431,"[-0.12513229770229795, -0.06938257254239097, 0.047748531157783894]"
MuSiQue,V1,s_title_overlap_mean,2417,-0.06082613887474032,"[-0.17811084756513995, -0.060165997758353955, -0.016590198760528238]"
MuSiQue,V1,s_score_entropy,2417,0.1086367045400574,"[0.014511946904091617, 0.10578114348275272, 0.17684490717170193]"
MuSiQue,V2,s_title_overlap_mean,2417,0.04971436019448902,"[0.014811972519901285, 0.050969995380140215, 0.15252270167558965]"
MuSiQue,V2,s_score_entropy,2417,-0.09233164574933646,"[-0.1706756301098967, -0.09233194028151887, -0.05054942824649222]"
MuSiQue,V3,q_hop_count,2417,-0.12986231308741272,"[-0.17656267129783557, -0.12531162955718242, 0.0653215297477527]"
MuSiQue,V3,q_n_decomposition,2417,-0.12986231308741272,"[-0.17656267129783557, -0.12531162955718242, 0.0653215297477527]"
MuSiQue,V3,s_score_entropy,2417,-0.07835943223026644,"[-0.1709084203369181, -0.0806731925072823, -0.04568661729522301]"
TREC-DL,dense_fusion,s_score_top10_entropy,97,0.020454557351583257,"[-0.17009129386457972, 0.023396184806543603, 0.20020634212906147]"
TREC-DL,dense_fusion,s_score_margin_1_2,97,-0.0004857403406760215,"[-0.20869867951489454, -0.0045302283798891885, 0.19644324752470554]"
TREC-DL,cross_encoder,s_score_top10_entropy,97,0.03783257484554437,"[-0.14897215984188789, 0.038637006066006244, 0.23065985337210196]"
TREC-DL,cross_encoder,s_score_margin_1_2,97,0.038516058320841644,"[-0.16645427586922526, 0.029311177956957292, 0.23265855440720087]"
TREC-DL,late_interaction,s_score_top10_entropy,97,-0.014800438055217344,"[-0.1853727205062044, -0.015941860078238695, 0.1682145679551125]"
TREC-DL,late_interaction,s_score_margin_1_2,97,0.06869130905046456,"[-0.12402198637462533, 0.06213115848827229, 0.24771955430438833]"
