task,policy,target_policy_mean_cost,matched_expected_mean_cost,cost_match_error,route_probabilities
trec_dl,qpp,0.0874385701648912,0.0874385701648912,0.0,"{""cross_encoder"": 0.2837501116241251, ""dense_fusion"": 0.32634327855383116, ""late_interaction"": 0.061263613125375434, ""stop_bm25"": 0.32864299669666835}"
trec_dl,native_adaptive,0.0874385701648912,0.0874385701648912,0.0,"{""cross_encoder"": 0.2837501116241251, ""dense_fusion"": 0.32634327855383116, ""late_interaction"": 0.061263613125375434, ""stop_bm25"": 0.32864299669666835}"
trec_dl,arr_seed_1,0.1970342217014845,0.1970342217014845,0.0,"{""cross_encoder"": 0.2683102140223125, ""dense_fusion"": 0.2793587355202026, ""late_interaction"": 0.1724057225029319, ""stop_bm25"": 0.27992532795455294}"
trec_dl,arr_seed_2,0.13677883588967135,0.13677883588967132,-2.7755575615628914e-17,"{""cross_encoder"": 0.27951160817508053, ""dense_fusion"": 0.30406626133413345, ""late_interaction"": 0.11106761488977207, ""stop_bm25"": 0.3053545156010139}"
trec_dl,arr_seed_3,0.29848723527351173,0.2984872352735117,-5.551115123125783e-17,"{""cross_encoder"": 0.24318041043045674, ""dense_fusion"": 0.24037039222390846, ""late_interaction"": 0.27621903794226754, ""stop_bm25"": 0.24023015940336717}"
trec_dl,arr_seed_4,0.3988326359576359,0.39883263595763585,-5.551115123125783e-17,"{""cross_encoder"": 0.21434557666500142, ""dense_fusion"": 0.20347280288009112, ""late_interaction"": 0.37923996279828354, ""stop_bm25"": 0.20294165765662392}"
trec_dl,arr_seed_5,0.4227028283260132,0.42270282832601314,-5.551115123125783e-17,"{""cross_encoder"": 0.20709775023196075, ""dense_fusion"": 0.1948587166023302, ""late_interaction"": 0.4037799052724202, ""stop_bm25"": 0.19426362789328883}"
fever,qpp,0.2574784785759437,0.2574784785759437,0.0,"{""bi200"": 0.17011708836563955, ""bm25"": 0.24199932175463784, ""ce100"": 0.19327815499444576, ""ce20"": 0.2310266447670954, ""hybrid"": 0.16357879011818152}"
fever,native_adaptive,0.16193269839172714,0.1619326983917271,-2.7755575615628914e-17,"{""bi200"": 0.09232342884020887, ""bm25"": 0.3687709721490257, ""ce100"": 0.15245182891045883, ""ce20"": 0.30730734291837103, ""hybrid"": 0.07914642718193558}"
fever,arr_seed_1,0.29051060456473554,0.2905106045647355,-5.551115123125783e-17,"{""bi200"": 0.1975842970259663, ""bm25"": 0.20329210932251984, ""ce100"": 0.19963270243096623, ""ce20"": 0.202531317818448, ""hybrid"": 0.19695957340209957}"
fever,arr_seed_2,0.25118861041640994,0.25118861041640994,0.0,"{""bi200"": 0.16490381063750828, ""bm25"": 0.24963131891868098, ""ce100"": 0.19162170237283843, ""ce20"": 0.23636980482319533, ""hybrid"": 0.15747336324777703}"
fever,arr_seed_3,0.2936293621257873,0.2936293621257873,0.0,"{""bi200"": 0.2001818535860278, ""bm25"": 0.1997528614193951, ""ce100"": 0.2000263824310457, ""ce20"": 0.1998092882003371, ""hybrid"": 0.20022961436319442}"
fever,arr_seed_4,0.2747367688499919,0.2747367688499918,-5.551115123125783e-17,"{""bi200"": 0.18445385060356143, ""bm25"": 0.22149392044882416, ""ce100"": 0.19709257049937096, ""ce20"": 0.2162213495415377, ""hybrid"": 0.18073830890670567}"
